# Метеостанция Шереметьево / им. А. С. Пушкина (аэропорт), Россия, METAR=UUEE, выборка с 01.01.2023 по 31.01.2023, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UUEE&lang=ru
#
"Местное время в Шереметьево / им. А. С. Пушкина (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"16.01.2023 01:30";"-3.0";"745.0";"762.8";"80";"Ветер, дующий с юга";"6";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"-6.0";
"16.01.2023 01:00";"-3.0";"745.0";"762.8";"80";"Ветер, дующий с юго-юго-востока";"7";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-6.0";
"16.01.2023 00:30";"-3.0";"745.0";"762.8";"80";"Ветер, дующий с юго-юго-востока";"6";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"-6.0";
"16.01.2023 00:00";"-3.0";"745.0";"762.8";"80";"Ветер, дующий с юга";"6";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"-6.0";
"15.01.2023 23:30";"-3.0";"745.0";"762.8";"80";"Ветер, дующий с юга";"6";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-6.0";
"15.01.2023 23:00";"-3.0";"745.7";"763.5";"80";"Ветер, дующий с юго-юго-востока";"6";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-6.0";
"15.01.2023 22:30";"-3.0";"745.7";"763.5";"80";"Ветер, дующий с юго-юго-востока";"7";"";"";"";"Разорванная (60-90%) 480 м";"10.0 и более";"-6.0";
"15.01.2023 22:00";"-3.0";"745.7";"763.5";"80";"Ветер, дующий с юга";"7";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-6.0";
"15.01.2023 21:30";"-3.0";"745.7";"763.5";"80";"Ветер, дующий с юга";"7";"";"";"";"Рассеянная (40-50%) 450 м";"10.0 и более";"-6.0";
"15.01.2023 21:00";"-2.0";"745.7";"763.5";"74";"Ветер, дующий с юга";"7";"";"";"";"Рассеянная (40-50%) 480 м";"10.0 и более";"-6.0";
"15.01.2023 20:30";"-2.0";"745.7";"763.5";"74";"Ветер, дующий с юга";"6";"";"";"";"Рассеянная (40-50%) 480 м";"10.0 и более";"-6.0";
"15.01.2023 20:00";"-2.0";"745.7";"763.5";"74";"Ветер, дующий с юга";"6";"";"";"";"Рассеянная (40-50%) 510 м";"10.0 и более";"-6.0";
"15.01.2023 19:30";"-2.0";"745.7";"763.5";"80";"Ветер, дующий с юго-юго-востока";"7";"13";"";"";"Рассеянная (40-50%) 510 м";"10.0 и более";"-5.0";
"15.01.2023 19:00";"-2.0";"746.5";"764.3";"74";"Ветер, дующий с юго-юго-востока";"7";"";"";"";"Рассеянная (40-50%) 510 м";"10.0 и более";"-6.0";
"15.01.2023 18:30";"-2.0";"746.5";"764.3";"80";"Ветер, дующий с юго-юго-востока";"8";"";"";"";"Рассеянная (40-50%) 540 м";"10.0 и более";"-5.0";
"15.01.2023 18:00";"-2.0";"747.2";"765.0";"80";"Ветер, дующий с юго-юго-востока";"7";"";"";"";"Рассеянная (40-50%) 510 м";"10.0 и более";"-5.0";
"15.01.2023 17:30";"-2.0";"747.2";"765.0";"80";"Ветер, дующий с юга";"6";"";"";"";"Рассеянная (40-50%) 540 м";"10.0 и более";"-5.0";
"15.01.2023 17:00";"-2.0";"747.2";"765.0";"80";"Ветер, дующий с юга";"6";"";"";"";"Рассеянная (40-50%) 480 м";"10.0 и более";"-5.0";
"15.01.2023 16:30";"-2.0";"747.2";"765.0";"80";"Ветер, дующий с юго-юго-востока";"7";"";"";"";"Сплошная (100%) 540 м";"10.0 и более";"-5.0";
"15.01.2023 16:00";"-1.0";"747.3";"765.0";"75";"Ветер, дующий с юго-юго-востока";"6";"";"";"";"Сплошная (100%) 510 м";"10.0 и более";"-5.0";
"15.01.2023 15:30";"-1.0";"747.3";"765.0";"75";"Ветер, дующий с юга";"7";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-5.0";
"15.01.2023 15:00";"-2.0";"747.2";"765.0";"80";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"-5.0";
"15.01.2023 14:30";"-2.0";"747.2";"765.0";"80";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"-5.0";
"15.01.2023 14:00";"-2.0";"747.2";"765.0";"80";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-5.0";
"15.01.2023 13:30";"-2.0";"747.2";"765.0";"80";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"15.01.2023 13:00";"-2.0";"747.2";"765.0";"80";"Ветер, дующий с юга";"5";"10";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"15.01.2023 12:30";"-2.0";"748.0";"765.8";"86";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-4.0";
"15.01.2023 12:00";"-2.0";"748.0";"765.8";"86";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-4.0";
"15.01.2023 11:30";"-2.0";"748.0";"765.8";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-4.0";
"15.01.2023 11:00";"-2.0";"748.0";"765.8";"86";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-4.0";
"15.01.2023 10:30";"-2.0";"748.0";"765.8";"86";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-4.0";
"15.01.2023 10:00";"-2.0";"748.0";"765.8";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 270 м, сплошная (100%) 990 м";"4.3";"-4.0";
"15.01.2023 09:30";"-3.0";"747.9";"765.8";"93";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 270 м, сплошная (100%) 870 м";"7.0";"-4.0";
"15.01.2023 09:00";"-3.0";"747.1";"765.0";"93";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 240 м, сплошная (100%) 1020 м";"7.0";"-4.0";
"15.01.2023 08:30";"-3.0";"747.9";"765.8";"93";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"Снег";"Разорванная (60-90%) 210 м, сплошная (100%) 810 м";"6.0";"-4.0";
"15.01.2023 08:00";"-3.0";"747.9";"765.8";"93";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"Снег";"Разорванная (60-90%) 240 м, сплошная (100%) 1230 м";"3.0";"-4.0";
"15.01.2023 07:30";"-3.0";"747.9";"765.8";"93";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 240 м";"6.0";"-4.0";
"15.01.2023 07:00";"-2.0";"748.0";"765.8";"86";"Ветер, дующий с юга";"4";"";"Снег";"Снег";"Сплошная (100%) 300 м";"4.5";"-4.0";
"15.01.2023 06:30";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 330 м";"9.0";"-5.0";
"15.01.2023 06:00";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 330 м";"10.0 и более";"-5.0";
"15.01.2023 05:30";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 330 м";"10.0 и более";"-5.0";
"15.01.2023 05:00";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-5.0";
"15.01.2023 04:30";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-5.0";
"15.01.2023 04:00";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-5.0";
"15.01.2023 03:30";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-5.0";
"15.01.2023 03:00";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-5.0";
"15.01.2023 02:30";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-5.0";
"15.01.2023 02:00";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"15.01.2023 01:30";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"15.01.2023 01:00";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"15.01.2023 00:30";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"15.01.2023 00:00";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"14.01.2023 23:30";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"14.01.2023 23:00";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"14.01.2023 22:30";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"14.01.2023 22:00";"-2.0";"748.0";"765.8";"86";"Ветер, дующий с юга";"6";"11";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-4.0";
"14.01.2023 21:30";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"14.01.2023 21:00";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"7";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"14.01.2023 20:30";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"7";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-5.0";
"14.01.2023 20:00";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-5.0";
"14.01.2023 19:30";"-2.0";"748.0";"765.8";"80";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"10.0 и более";"-5.0";
"14.01.2023 19:00";"-2.0";"748.0";"765.8";"86";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"10.0 и более";"-4.0";
"14.01.2023 18:30";"-3.0";"748.7";"766.6";"93";"Ветер, дующий с юга";"5";"10";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"10.0 и более";"-4.0";
"14.01.2023 18:00";"-3.0";"748.7";"766.6";"93";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"10.0 и более";"-4.0";
"14.01.2023 17:30";"-3.0";"748.7";"766.6";"93";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) снег";"Снег";"Сплошная (100%) 270 м";"9.0";"-4.0";
"14.01.2023 17:00";"-3.0";"748.7";"766.6";"93";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 240 м";"9.0";"-4.0";
"14.01.2023 16:30";"-3.0";"747.9";"765.8";"93";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 210 м";"7.0";"-4.0";
"14.01.2023 16:00";"-3.0";"747.9";"765.8";"93";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"Снег";"Сплошная (100%) 210 м";"4.0";"-4.0";
"14.01.2023 15:30";"-3.0";"747.9";"765.8";"93";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 210 м";"10.0 и более";"-4.0";
"14.01.2023 15:00";"-3.0";"747.9";"765.8";"93";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 210 м";"10.0 и более";"-4.0";
"14.01.2023 14:30";"-3.0";"747.9";"765.8";"93";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-4.0";
"14.01.2023 14:00";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 13:30";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 13:00";"-3.0";"748.7";"766.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 12:30";"-3.0";"748.7";"766.6";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"10.0 и более";"-5.0";
"14.01.2023 12:00";"-3.0";"748.7";"766.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-5.0";
"14.01.2023 11:30";"-3.0";"748.7";"766.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 11:00";"-3.0";"748.7";"766.6";"86";"Ветер, дующий с юга";"6";"";"";"Замерзающий(ая) (переохлажденный(ая)) морось";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 10:30";"-3.0";"748.7";"766.6";"86";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось";"";"Сплошная (100%) 240 м";"10.0 и более";"-5.0";
"14.01.2023 10:00";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось";"Замерзающий(ая) (переохлажденный(ая)) дождь";"Сплошная (100%) 240 м";"9.0";"-5.0";
"14.01.2023 09:30";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) дождь";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 09:00";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) дождь";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 08:30";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юго-юго-востока";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 08:00";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 07:30";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 07:00";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 06:30";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юго-юго-востока";"5";"";"";"Замерзающий(ая) (переохлажденный(ая)) морось";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 06:00";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 05:30";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 240 м";"10.0 и более";"-5.0";
"14.01.2023 05:00";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"14.01.2023 04:30";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-5.0";
"14.01.2023 04:00";"-3.0";"747.9";"765.8";"86";"Ветер, дующий с юго-юго-востока";"6";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-5.0";
"14.01.2023 03:30";"-4.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-6.0";
"14.01.2023 03:00";"-4.0";"747.8";"765.8";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"9.0";"-6.0";
"14.01.2023 02:30";"-4.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-6.0";
"14.01.2023 02:00";"-4.0";"747.8";"765.8";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-6.0";
"14.01.2023 01:30";"-4.0";"747.8";"765.8";"86";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-6.0";
"14.01.2023 01:00";"-4.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-6.0";
"14.01.2023 00:30";"-4.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-6.0";
"14.01.2023 00:00";"-4.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-6.0";
"13.01.2023 23:30";"-4.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-6.0";
"13.01.2023 23:00";"-5.0";"748.6";"766.6";"93";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-6.0";
"13.01.2023 22:30";"-5.0";"748.6";"766.6";"93";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Сплошная (100%) 210 м";"10.0 и более";"-6.0";
"13.01.2023 22:00";"-5.0";"748.6";"766.6";"93";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 210 м";"10.0 и более";"-6.0";
"13.01.2023 21:30";"-5.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"7";"";"";"";"Сплошная (100%) 210 м";"10.0 и более";"-7.0";
"13.01.2023 21:00";"-5.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 210 м";"10.0 и более";"-7.0";
"13.01.2023 20:30";"-5.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"6";"";"";"";"Разорванная (60-90%) 210 м";"10.0 и более";"-7.0";
"13.01.2023 20:00";"-5.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"6";"";"";"";"Разорванная (60-90%) 210 м";"10.0 и более";"-7.0";
"13.01.2023 19:30";"-5.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Разорванная (60-90%) 240 м";"10.0 и более";"-7.0";
"13.01.2023 19:00";"-5.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Разорванная (60-90%) 270 м";"10.0 и более";"-7.0";
"13.01.2023 18:30";"-5.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"9.0";"-7.0";
"13.01.2023 18:00";"-5.0";"748.6";"766.6";"86";"Ветер, дующий с юга";"4";"9";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"4.9";"-7.0";
"13.01.2023 17:30";"-6.0";"748.5";"766.6";"93";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 270 м";"3.8";"-7.0";
"13.01.2023 17:00";"-6.0";"748.5";"766.6";"93";"Ветер, дующий с юга";"4";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 300 м";"5.0";"-7.0";
"13.01.2023 16:30";"-6.0";"748.5";"766.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-8.0";
"13.01.2023 16:00";"-6.0";"747.7";"765.8";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-8.0";
"13.01.2023 15:30";"-6.0";"748.5";"766.6";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-8.0";
"13.01.2023 15:00";"-6.0";"747.7";"765.8";"86";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-8.0";
"13.01.2023 14:30";"-6.0";"747.7";"765.8";"86";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-8.0";
"13.01.2023 14:00";"-6.0";"747.7";"765.8";"86";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"10.0 и более";"-8.0";
"13.01.2023 13:30";"-6.0";"747.7";"765.8";"86";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-8.0";
"13.01.2023 13:00";"-6.0";"747.7";"765.8";"86";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-8.0";
"13.01.2023 12:30";"-6.0";"747.7";"765.8";"86";"Ветер, дующий с юга";"7";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-8.0";
"13.01.2023 12:00";"-6.0";"747.7";"765.8";"86";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-8.0";
"13.01.2023 11:30";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юга";"6";"11";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-9.0";
"13.01.2023 11:00";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-9.0";
"13.01.2023 10:30";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юга";"6";"11";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-9.0";
"13.01.2023 10:00";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юга";"7";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-9.0";
"13.01.2023 09:30";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юга";"7";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-9.0";
"13.01.2023 09:00";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юга";"8";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-9.0";
"13.01.2023 08:30";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юго-юго-запада";"7";"13";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-9.0";
"13.01.2023 08:00";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юга";"7";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-9.0";
"13.01.2023 07:30";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-9.0";
"13.01.2023 07:00";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-9.0";
"13.01.2023 06:30";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юга";"7";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-9.0";
"13.01.2023 06:00";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-9.0";
"13.01.2023 05:30";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юга";"7";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-9.0";
"13.01.2023 05:00";"-6.0";"747.7";"765.8";"80";"Ветер, дующий с юга";"7";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-9.0";
"13.01.2023 04:30";"-6.0";"748.5";"766.6";"80";"Ветер, дующий с юга";"6";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-9.0";
"13.01.2023 04:00";"-6.0";"748.5";"766.6";"80";"Ветер, дующий с юга";"7";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-9.0";
"13.01.2023 03:30";"-6.0";"748.5";"766.6";"80";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-9.0";
"13.01.2023 03:00";"-6.0";"748.5";"766.6";"80";"Ветер, дующий с юга";"7";"";"";"";"Разорванная (60-90%) 390 м";"10.0 и более";"-9.0";
"13.01.2023 02:30";"-6.0";"748.5";"766.6";"80";"Ветер, дующий с юга";"6";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"-9.0";
"13.01.2023 02:00";"-7.0";"749.1";"767.3";"79";"Ветер, дующий с юга";"6";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"-10.0";
"13.01.2023 01:30";"-7.0";"749.1";"767.3";"79";"Ветер, дующий с юга";"6";"";"";"";"Рассеянная (40-50%) 450 м";"10.0 и более";"-10.0";
"13.01.2023 01:00";"-7.0";"749.1";"767.3";"79";"Ветер, дующий с юга";"6";"";"";"";"Рассеянная (40-50%) 450 м";"10.0 и более";"-10.0";
"13.01.2023 00:30";"-7.0";"749.1";"767.3";"79";"Ветер, дующий с юга";"6";"";"";"";"Рассеянная (40-50%) 480 м";"10.0 и более";"-10.0";
"13.01.2023 00:00";"-7.0";"749.1";"767.3";"79";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Рассеянная (40-50%) 510 м";"10.0 и более";"-10.0";
"12.01.2023 23:30";"-7.0";"749.1";"767.3";"79";"Ветер, дующий с юга";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-10.0";
"12.01.2023 23:00";"-7.0";"749.1";"767.3";"79";"Ветер, дующий с юга";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-10.0";
"12.01.2023 22:30";"-7.0";"749.1";"767.3";"73";"Ветер, дующий с юга";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-11.0";
"12.01.2023 22:00";"-7.0";"749.1";"767.3";"73";"Ветер, дующий с юга";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-11.0";
"12.01.2023 21:30";"-7.0";"749.1";"767.3";"73";"Ветер, дующий с юга";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-11.0";
"12.01.2023 21:00";"-7.0";"749.1";"767.3";"73";"Ветер, дующий с юга";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-11.0";
